shop_name,Review,Location,Number,img
আমারপিসি,৪.৪,৪.৪(২১৭),09639-330330,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqwYKoHQAPTB_CbXZDRFpIMCekX-TacbwzyzVq6yJzBDz8_3oM-DeB5pg944LC6Qq7UokgMccZ0ZVyR7p_YJvWuyA4GCR-mqrjNut5ziMxffqoYBIGDCcu0MDpFatwy9zj6bqfFew=w163-h92-k-no
ল্যাপস্বপ্,৫.০,৫.০(২),01710-886629,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqbZAFQdz4R0lwiJds3nB5TpLeWrlRDOZKfQYsNn1ObmUW3-XWFY-oyr-RCb9KGJ-kWlgJC2My3mVTo5T6hBmXta6Dkopm3x36KuKNu5ZIdnLDHis_lI_9UWAYV1tHO35oNHBPcTg=w122-h92-k-no
ষ্টার টেক এন্ড ইঞ্জিনিয়ারিং লিমিটেড. আইডিবি ব্রাঞ্চ,৪.২,৪.২(৮২৬),01313-717083,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrdKBedYWhnoY0sInqFygInKlekJqGWNjR0hZK-z_tmZ86ulrPM24FONSay83xYpCangiO9iNUDotFVqTbQ5ptIYZdIxBYRxD45bW5I-tUD4RvkRYI7O9hySbwd96uEsf6Bsj0T=w122-h92-k-no
কাজী টেকনোলজি,৪.৮,৪.৮(১৩৫),,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npVAE60ulZNrbHyO-sRJtXVRG14jBj90HtSVxaigx3QnrvxP-OcCgDyaMFC0Ty3KO7hyytUJAcVemPSXV6z2b4tS912LPOJ6bL3cB25guhyvMyTCzvLiKwSxdAPia20R8cdBFiB=w122-h92-k-no
Computer Studio,৫.০,৫.০(১১),01748-261551,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nodV4FLhlic_SlQByu1xWtlaHJXBW3ZK9sbRMV7LYgY2-pgoVDLDYtn94bh0YmHNZO0D1BETBla-1uBGm8mSvP9w3gOb0fYO2ZKyVU3xTQZbHTeQbsqdeVI20bKSocAEmdqBLYm=w122-h92-k-no
লুসিড কম্পিউটারস,৪.৬,৪.৬(১৩),01974-493015,https://lh3.googleusercontent.com/p/AF1QipOYp7YJkXsJXKNUB6k-ev3nkhAD_QV2K56zmpNn=w163-h92-k-no
এমসি সলিউশন বিডি ( আইডিবি ভবন ব্রাঞ্চ ),৫.০,৫.০(১৯),01407-056590,https://lh3.googleusercontent.com/p/AF1QipMiOMscVWPWiQe6jAI4k7eL0AqboaCa5iE51PAG=w92-h92-k-no
সিস্টেমেয়ে টেকনোলজিস লিমিটেড,৪.১,৪.১(৬২),01757-555999,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrkrcC1vQMclv9QWErLch42ZZ2GigSaCVFzxqL5EgDupFt1CADx2_H1C52eZmgEsTjA23M7m5v2a3zJ7uSp6ufmsLoGX2V7RkYQ47vzaIs-I_9uQPXUiC5duqvEudHEgmY3Rihf=w163-h92-k-no
স্টার টেক - বনানী শাখা,৪.৩,৪.৩(৭২৮),01709-995574,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npwmgTCvYioEf2y7tFpZd7JmM1s-FHv5PUwD6yLvCoyh9uIJOHkUlKXAvjaScjuI90d-FqFHlgfgINQqDKIf6f8WXeLyNRx1kKuJQqasK3Mi2tMv57iPjdjoDNURfCFcFzr0fv7Rw=w122-h92-k-no
পিসি এইড,৪.৮,৪.৮(৬৩),01716-618001,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npwfKRVN5IftlOK_oY32kyCBWZV_eLKLxQFLgqh0PYBC0KQ5dpdKSOoPQ8t9XAA5uyiCNA1IumlfvnU9gnlSlMLAZr42JF51inU9ddD71rBkdrlCqawKVYGi5WpCH-kJwcWnDnBDw=w80-h106-k-no
